Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.550904,-1.221752,4,Kilburn Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4 3DY,United Kingdom
54.549663,-1.156329,81,Regency Avenue,,Middlesbrough,,Redcar and Cleveland,,TS6 0QH,United Kingdom
54.69861,-1.18283,91,Durham Street,Hartlepool,Hartlepool,,Hartlepool,,TS24 0HS,United Kingdom
54.567209,-1.335359,18,Ullswater Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 4NE,United Kingdom
54.613403,-1.279272,7,Bradley Court,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3DB,United Kingdom
54.522842,-1.204103,34,Woodvale,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0SH,United Kingdom
54.552224,-0.797032,3,Dalehouse Bank,Staithes,Saltburn-by-the-Sea,,North Yorkshire,,TS13 5AN,United Kingdom
54.680533,-1.211307,,Stranton,Hartlepool,Hartlepool,,Hartlepool,,,United Kingdom
54.551717,-1.265819,18,Fakenham Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 4QF,United Kingdom
54.671433,-1.23841,18,Chesterton Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 4LQ,United Kingdom
54.589477,-1.322436,7,Mortimer Drive,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 1HA,United Kingdom
54.586017,-1.350871,,Whitburn Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19,United Kingdom
54.65105,-1.45304,4A,Lambton Crescent,Sedgefield,Stockton-on-Tees,,County Durham,,TS21 2DE,United Kingdom
54.606044,-1.285626,3,Clee Terrace,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 2RB,United Kingdom
54.523118,-1.360967,14,Thornfield Close,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 0NW,United Kingdom
54.521055,-1.293459,66A,Dukesway,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 9LT,United Kingdom
54.612475,-1.292666,7,Ashby Road,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 2DQ,United Kingdom
54.559013,-1.318418,5,Edwards Street,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18,United Kingdom
54.73219,-1.376399,16,Gulley Road,Wingate,Wingate,,County Durham,,TS28 5BU,United Kingdom
54.699767,-1.239648,10,Greenfinch Close,Hartlepool,Hartlepool,,Hartlepool,,TS26 0SL,United Kingdom
