Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.53997,-0.968201,14,Lingdale Road,Lingdale,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 3EZ,United Kingdom
54.582463,-1.246514,4a,Forty Foot Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS2,United Kingdom
54.578464,-1.146998,10-22,Eversham Road,,Middlesbrough,,Redcar and Cleveland,,TS6 7ES,United Kingdom
54.571044,-1.17728,7,Stephenson Court,Skippers Lane Industrial Estate,Middlesbrough,,Redcar and Cleveland,,TS6 6UT,United Kingdom
54.589214,-1.341437,12,Rudyard Avenue,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 9LA,United Kingdom
54.585287,-1.358371,6,Dinsdale Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 8NE,United Kingdom
54.736887,-1.353511,6,The Factory,Castle Eden,Hartlepool,,County Durham,,TS27 4SR,United Kingdom
54.570642,-0.898059,6,Marine Terrace,Skinningrove,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS13 4BJ,United Kingdom
54.581955,-1.325779,131A,Dumbarton Avenue,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 0LN,United Kingdom
54.575848,-1.238279,12,Gilkes Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1,United Kingdom
54.588101,-1.247029,,Riverside Park Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS2 1QJ,United Kingdom
54.566464,-1.197338,2,Cotswold Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 8JN,United Kingdom
54.570954,-1.331616,8,Bransdale Close,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 0SG,United Kingdom
54.524404,-1.251422,20,Holey Close,Middlesbrough,Middlesbrough,,Middlesbrough,,TS8 9RD,United Kingdom
54.563405,-1.196101,18,Ellesmere Walk,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 8LT,United Kingdom
54.567667,-0.938182,39,High Street,Brotton,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2PG,United Kingdom
54.543983,-1.177669,14,Cleveland Close,Ormesby,Middlesbrough,,Redcar and Cleveland,,TS7 9BX,United Kingdom
54.568666,-1.174435,,Trunk Road,,Middlesbrough,,Redcar and Cleveland,,TS6 6UR,United Kingdom
54.525842,-1.308534,22,Avens Way,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0SQ,United Kingdom
54.531941,-1.047454,4,Bolton Way,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 7AL,United Kingdom
54.575852,-1.244942,84,Newport Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 5DG,United Kingdom
54.593654,-1.337696,,Junction Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 1QD,United Kingdom
54.566609,-1.192548,57,Kedward Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 9DB,United Kingdom
54.555432,-1.263734,20,Sydney Close,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 4LD,United Kingdom
54.428498,-1.217934,7,The Crescent,Carlton-in-Cleveland,Middlesbrough,,North Yorkshire,,TS9 7BH,United Kingdom
54.551537,-1.305841,188,Thornaby Road,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 6LA,United Kingdom
54.618944,-1.069179,,Central Terrace,Redcar,Redcar,,Redcar and Cleveland,,TS10,United Kingdom
54.518714,-1.207251,49,Barberry,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0XG,United Kingdom
54.5587,-1.25432,1,Thornberry Court,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 5DP,United Kingdom
54.665573,-1.245558,6,Edzell Walk,Hartlepool,Hartlepool,,Hartlepool,,TS25 4BA,United Kingdom
54.577837,-1.233562,,Albert Mews,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1,United Kingdom
54.554807,-1.14742,97,Bankfields Road,,Middlesbrough,,Redcar and Cleveland,,TS6 0TG,United Kingdom
54.662608,-1.235447,223,Catcote Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 4RD,United Kingdom
54.566684,-1.153658,6,Kel Dennis Close,Eston,Middlesbrough,,Redcar and Cleveland,,TS6 9TZ,United Kingdom
54.613801,-1.273753,3,Beamish Road,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3DT,United Kingdom
54.533477,-1.306107,1,Newton Drive,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0EJ,United Kingdom
54.566217,-1.353049,7,Westerleigh Avenue,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 7ER,United Kingdom
54.557991,-1.360338,26,Ainderby Grove,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 5PJ,United Kingdom
54.7353,-1.3143,16,East Terrace,Hesleden,Hartlepool,,County Durham,,TS27 4PR,United Kingdom
